,Unnamed: 0,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,Toyota,4164227,10157273,16839552,23002740,28547663,34907916,40748138,48235634,55927620,63798628,71743723,79824945,88188681,96673865,105252020,112838301,121149378,129477240,133820638
1,Ford,3543466,8265288,13379587,17859016,22085658,26685783,31770820,36976097,42736059,48556472,54613567,60772598,66859019,72305429,77320625,81398178,85145899,88700524,90783850
2,Chevrolet,3185428,6633383,10655816,14205903,17278003,21177249,25622953,30406871,35241004,39897774,44182273,48248639,52346373,56508554,60399486,63586433,66108569,68695422,70188802
3,Honda,2378965,5392586,8809092,12254065,15421611,18758013,21656855,25277546,29313031,33538714,37955471,42674254,47744081,52802012,57777606,62073079,66312966,69979812,71829505
4,Nissan,2193370,4738191,7689358,10605566,13334417,16663044,20464392,24650082,28941876,33470563,38114372,42871503,47872738,52766372,57264190,60797991,64247786,67072692,68628166
5,Volkswagen,1993914,5168932,9150183,13099757,17398466,22179690,27718668,33814462,40090185,46535555,52761771,59134669,65730436,72412748,79033510,84426749,89335036,94076037,96394051
6,Hyundai,1481435,3371605,5607349,7844378,10625142,13870349,17432170,21365840,25602974,30082892,34662108,39287626,43460304,47712998,51910583,55337925,58944348,62328338,64155922
7,Dodge,1179860,2419932,3706443,4713020,5193687,5733911,6336541,7000724,7743192,8449948,9090455,9707482,10255977,10783171,11265048,11265048,11265048,11265048,11265048
8,Renault,1109957,2712991,4477752,6081837,7576261,9335017,11268915,13150094,15072665,17013903,18996023,21239490,23614478,25904204,28112652,29828662,31415397,32778245,33504404
9,Suzuki,978715,2280416,4407877,6484530,8599763,11038592,13413906,15990983,18564166,21324603,24004497,26712278,29769509,32995840,35912560,38287316,40951890,43793680,45242743
10,Peugeot,835660,2207791,3796610,5287837,6741874,8298942,10674256,12377837,13986476,15852986,17803667,19725662,21306316,22819984,24231352,24231352,24231352,24231352,24231352
11,Mazda,784014,1898819,3155546,4368057,5448388,6612828,7755075,8963529,10211076,11522407,12972118,14434308,15962282,17521769,18981048,20200000,21418746,22482712,23107474
12,Mercedes-Benz,769719,1976184,3312036,4586391,5687652,6905756,8241977,9674569,11267177,13000770,14954764,17079753,19415582,21766785,24234023,26429036,28477912,30483998,31558719
13,Citroen,754189,1954889,3302073,4561739,5861423,7240971,8588856,9815141,11027283,12274204,13383116,14433458,15425552,16418882,17381698,17381698,17381698,17381698,17381698
14,Kia,697873,1677983,2768481,3897979,5274984,7001050,9149668,11962798,14410816,17016131,19729827,22598746,25199266,27890067,30571424,33142941,35905532,38621823,40129701
15,BMW,688926,1755583,2936050,4032650,4982301,6036080,7240324,8572245,10020615,11623314,13330172,15100420,16956336,18837251,20821208,22631726,24610033,26551322,27593024
